Timestamp,For how many years have you played Counter-Strike,How many hours have you played the game,What is your premier elo?,Have you ever deployed external software in order to enhance your gaming abilities?,What was the name of this software,How much did the software cost in EUR?,What did the software do?,How was your experience using this software,Would you categorise the use of the software as cheating?,Please give further reasoning for the answer to the previous question,Do you have any comments you want to share regarding the use of skill enhancing software?,Have you experienced cheaters in Counter-Strike 2,Do you believe that there is a problem with cheaters in CS2,Have you ever watched a demo because you were suspicious of a player potentially cheating?,How often do you experience playing in a match with a cheater?,"On a scale from 0 to 5, how big of a problem do you believe cheating is in Counter-Strike 2",Why do you believe that cheating is a problem?,Why do you believe that cheaters are not a problem?,Did you have access and make use of the overwatch feature when the feature was active,Do you think overwatch improved Counter-Strike,Did you feel like you aided the community when reviewing overwatch cases,Is there something else you want to remark regarding overwatch,What do you look for when determining whether a player is cheating or not?,Can you in more detail describe how you determine whether a player is cheating or not.,Do you have any comments for us?
2025/04/16 8:06:26 pm EET,11.0,5250,22000.0,No,,,,,,,,Yes,Yes,No,Occasionally,3,"Cheating in any competition is a huge problem for competitive integrity, however I think due to CS2s fast time to kill makes it more susceptible to cheating accusations, also think it’s overblown due to people thinking cs is easier to cheat in compared to other games due to no kernel level anti cheat ",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,It isn’t in cs2,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.)","It comes down to there movement and crosshair placement generally, if it seems unnatural or not consistent ",
2025/04/16 8:07:37 pm EET,6.0,2021,24000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,It makes me less willing to queue for premier matches if i know there is a decent chance I will play with or against a cheater. Playing with or against a cheater really takes all the fun out of it for me.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,I probably reviewed close to 20 games and every single one was a blantant cheater haha,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Well spinbot and aimhacks are easy to tell. Closet cheaters can be harder but mostly you can tell because they will only ever clear or hard clear the angle where a player is. Usually too they get more and more blantant the more rounds they lose.,
2025/04/16 9:44:49 pm EET,15.0,2000,17000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,Unfair,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Usually their aim and path tracing don't match their movement and positioning. Eg: high headshot accuracy and time-to-kill, but can't throw a nade nor counter-strafe",
2025/04/16 10:47:33 pm EET,20.0,3000,22000.0,No,,,,,,,,Yes,Yes,No,Often,5,Ruins the game for others ,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/17 12:23:02 am EET,5.0,2000,5000.0,No,,,,,,,,Yes,No,No,Occasionally,2,It's unfair duh,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/17 3:27:59 am EET,3.0,2130,10000.0,No,,,,,,,,Yes,Yes,Yes,Often,5,"Not sure how to interpret the question.
Why do cheaters exist in CS2? Many reasons. With counter strike being a relatively simple game, it has a high skill ceiling which might frustrate some players. They may start cheating in order to boost their ego, seek appraisal from others. They may not having the mentality to improve at the game, looking for quick and easy way to feel better about themselves. Also, I believe some  simply want to grind xp for weekly drops the easy way.
Why is this problematic for us, legit players? Well, we want to be matched against players with similar skill sets, who share our competitive spirit and genuinely want to improve at the game.
Why am I convinced cheaters exist in CS (or any competitive games for that matter)? Well, there are many cheaters who do it in a very obvious, even obnoxious way. If you play the game and/or watch the pro scene, you can clearly see the pattern of a clean l, genuine gameplay. On the other hand, there are plenty of closeted cheaters who have mastered hiding the fact that they use ""help"". There are many cheaters who also brag about using cheats and even compete with other cheaters (""who has the better cheat"").
From the more technical perspective, i think it's just very difficult to detect cheaters. I don't know that much about cheat development, but it's clear as a day that cheat devs adjust their ""products"" very quickly if, for example, VAC starts detecting it. They find new ways to avoid detection. Many claim that a kernel anti-cheatwould fix the problem, but we have evidence that even such, controversial for many, solution is still fairly easy to bypass (cheating is still a problem on faceit, PUBG also suffers from it as far as I know, etc)",,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","I'm trying not to jump into conclusions straight away and give them the benefit of the doubt, so unless it's very obvious like spinbotting, shooting through the walls, soft aim (if the player is not being careful with it), I try not to call them out or report them.
However, apart from demos, there's also the social perspective of cheating - steam accounts. If an account looks fairly new or is private, it is already making it more suspicious. But on the other hand, does it really matter nowadays when you can buy a legit looking account for a few bucks? ",Good luck!
2025/04/17 5:55:36 am EET,0.5,150,0.0,No,,,,,,,,Yes,Yes,No,Occasionally,3,its frustrating to play casual/competitive with f2p friends and trying to explain them why is half of the lobby voice-spamming and/or jumping and quickly killing them before a human could even react,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,"Most of my life has been dedicated to the TF2 community rather than Counter-Strike’s, i do have a great experience when it comes to enduring constant botting and cheating for the entirety of a match, although TF2’s cheating had a bigger amount of cheater’s per game since games are 12v12, a single cheater in CS2 disrupts a game louder than TF2’s, due to Counter-strike’s single life per round and how greatly it affects having one less teammate in a team even if the chicken is kicked, its not the same a 11v12 than a 4v5"
2025/04/17 6:47:25 am EET,14.0,11000,25000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),4,"Too broad of a question, but in a nutshell... It is too easy, VAC is not kernel level (which doesn't remove cheating, just makes it harder, but also violates privacy), cheating is a cat and mouse game, people as a whole have become such that grinding to become good is not rewarding anymore, mental health issues, no fathers in the house, the position of religion (especially Christianity in the west) has fallen (Yes, this affects for many reasons), hardware and IP bans are not a thing, cs2 is f2p, cheats are apparently quite cheap, don't need to even try to hide cheating, ""everyone cheats anyways"". There's some and could add in more, you may ask to talk with me if you want to. I can open up any point more than gladly.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Maybe,"Its alright but doesn't fix the core issue, which is VAC and CS2 being F2P and bans being only on that one account (i.e. no hardware / IP bans). ","Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);Oddities in basic map knowledge, not clearing corners, uncomfortability with sensitivity etc. So many dead giveaways. Sudden skill boost in players match history or even during the same match (which is the case in a demo).","I did put in stuff in ""Other"" on the earlier question. In general you can see quite quickly if someone is cheating. Crosshair palcement, movement, utility usage, account in general (hours, steam level, ig level, friends, faceit etc.), corner clearing, economy knowlege etc.

Its usually not one thing, but combination of a lot of stuff. Things like 28k elo, no faceit, under 1000 hours on account, bot movement, crosshair placement all over the place and so on. Can't be 100% sure still, but a lot of the time if I think someone is cheating I might follow the steam account for a bit and a lot of them do eventually get banned.","I am open for more question if you wish, [REDACTED]"
2025/04/17 8:09:08 am EET,1.0,200,6500.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,It ruins the game for everyone ,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,Nope 
2025/04/17 9:17:22 am EET,2.0,350,1500.0,No,,,,,,,,Yes,Yes,No,Occasionally,4,It ruins the experience,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Unnatural movement (bunny hopping, spinbotting, etc.);When he seems like he knows where I am, even when I'm going silently, etc.",,
2025/04/17 9:22:26 am EET,9.0,1434,19397.0,No,,,,,,,,Yes,No,No,Occasionally,1,It ruins the time commitment of 9 other people looking for a competitive experience for no reason other than a false sense of accomplishment.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,"I believe overwatch inflated the apparent cheating numbers within the game, as most cases shown were of blatant cheaters, leading to an availability bias ingrained in many cs2 players who have used overwatch or have watched content related to reviewing overwatch cases.","Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Consistent inhuman reaction times and consistent wallbangs",To be sure someone is cheating beyond a reasonable doubt there has to be a consistent pattern of suspicious gameplay across multiple duels and rounds.,"Good luck on the thesis, I hope I was able to help. :)"
2025/04/17 11:41:05 am EET,5.0,900,12000.0,Yes,Neverlose,30.0,Aim hack;Trigger hack;Wall hack;Grenade projectory preview;Spinbot,Great ,Yes,A full fledged hack that I mostly used to counter other cheaters I met and play semirage hvh,,Yes,Yes,No,Sometimes  (50% of the time),4,legit players can't win ,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/17 3:03:21 pm EET,20.0,800,1600.0,No,,,,,,,,Yes,Yes,No,Sometimes  (50% of the time),3,competition ,,I can't remember,,,,,,
2025/04/17 7:13:40 pm EET,2.0,300,0.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,"People who put in the effort to get better at the game are discouraged from playing because they cannot find matches that are a challenge, all they are met with is loss after loss and decide to stop playing the game",,I can't remember,,,,,,Smurfing is likely just as bad of a problem as other cheats.
2025/04/17 7:30:24 pm EET,10.0,5000,20000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,I don't have much time to play and when there is cheaters in my game it just a waste of time,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/17 8:59:04 pm EET,7.0,2600,20.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,"yes i think its a problem because if there is only 1 cheater in the game its still a problem, i dont see cheaters that much because spinbot and obvious cheats are now banned but i dont bother if someone is suspisous anymore its just what it is.",,I can't remember,,,,,,thanks for doing this do you care showing the result of the survey ? maybe contact me by my email !
2025/04/17 10:03:22 pm EET,17.0,7500,8200.0,No,,,,,,,,Yes,Yes,Yes,Often,5,"Because it s a competitive 5V2 FPS game, cheat gives unfair advantage ",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);never checking any corner , just know weherer opponent are","statitics, a player can be lucky 3 ti;e in a row but 4th or 5th seems to be tricky","Push Valve to do so;ething, send them your analysis "
2025/04/18 12:06:25 am EET,0.6,460,5000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,It ruins the experience for everyone else. Personally for me its very demotivating,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/18 12:31:12 am EET,20.0,5000,25150.0,No,,,,,,,,Yes,Yes,Yes,Often,5,"Ruins games, ruins trust in good players",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/18 12:35:54 am EET,7.0,1400,10000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),4,"Unfair, not fun to play with/against",,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,Predictive playstyle;Unnatural crossair movement,"Skipping/rushing through empty areas. Only ""checking"" THE angles.",No
2025/04/18 3:37:11 pm EET,25.0,1300,4000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Unfair playing field. Low bar means everyone is perceived as suspicious.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,No,The demo tick rate means it is very difficult to discern anything but the most obvious cheaters.,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/19 8:04:38 pm EET,10.0,6482,20950.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,"Cheaters ruin the game at higher elo than I am at right now. Forcing legit better players to face me instead of people their skill.

It also brings terrible vibes to the game as a whole, every play becomes suspicious and everyone accuses everyone, since nobody trust the anti cheat.

As for chreating as a whole, it just gives an unfair advantage, and garbage braging right",,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Maybe,"Overwatch was great until it wasn't, when it was full of legit player being sent there by actual cheaters.

Then valve fixed it and everybody was spammed with turbo spin botter.

Then we went back to only legit player there and it became lame.

Then it got removed","Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","When their aim is far better than their movement, you can smell something is fishy.

When they always make the correct play and are never shot in the back or suprised.

When they hard clear the only corner with a player while ignoring every other one.",
2025/04/19 8:25:15 pm EET,8.0,2661,0.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,"It ruins both the fun and the competitive integrity of the game, effectively leaving it a joyless experience",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.)","I usually look for the suspect making direct and confident plays multiple times in a row - peeking or checking only the angle that their enemy is on, finding timings and flanks too many times for it to be luck, etc.",
2025/04/19 11:13:24 pm EET,5.0,2600,23000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,Because you don't know whether you died because of skill difference or something else.,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,It is not always possible to judge right,Predictive playstyle;Unnatural crossair movement,,
2025/04/20 12:37:32 am EET,10.0,5600,21000.0,No,,,,,,,,Yes,Yes,Yes,Often,5,It seems like a free for all and causes weird play styles,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);",,
2025/04/20 2:05:43 am EET,11.0,8000,26000.0,Yes,Aimware,100.0,Aim hack;Trigger hack;Wall hack;Grenade projectory preview;Spinbot,"Good, but boring",Yes,It is very clearly a cheat,The cheats made me a better player over time due to learning rotations and spray control,Yes,Yes,Yes,Often,4,"At higher elos the number of cheaters is too high, making the game nearly unplayable.",,"Yes, I have reviewed cases and/or watched my own demos",No,No,Overwatch was overused by cheaters to determine who should be banned or not.,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","It is usually clear due to differences in aim and movement, or doing rotations when there is no new information for the team.","I only used cheats in csgo due to being a child, but in the end it made me a better player even years later."
2025/04/20 11:22:43 am EET,10.0,4000,8000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,Because Valve doesn't care. They make a billion $ a year from cases.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,At least it was something,"Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/20 1:54:08 pm EET,12.0,4200,15000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,Feels unfair,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/21 1:19:36 am EET,10.0,900,,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,The unfair advantage obviously. Though you can easily see that most cheaters are partially brain damaged as their reaction time even when looking through the walls is really bad,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Shoots through objects",Knows your position even without visual or audio confirmation multiple times. Waits for you in unusual positions where it makes no sense. Headshots instantly after going out of cover without checking any positions first.,Good luck
2025/04/22 5:52:31 am EET,1.0,200,6900.0,No,,,,,,,,No,No,No,Never (0% of the time),3,Yes,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,It was a great system in DoTA2 and I don't see why it would be terrible in CS2,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);Disparity between the rank and play pattern.",Pre-firing and aiming at walls for a line up too often than not in unnatural ways.,"No, don't use this survey to improve your cheat detection avoidance. Cheating are for VAC banners. Don't lose skin to win."
2025/04/22 12:10:11 pm EET,4.0,700,4500.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,"The fact that it is so easy to cheat makes people very suspicious. I made some good plays and got accused instantly, whereas of course I do the same sometimes when people get a good shot or get lucky. If we just had more trust that the other player wasn't cheating, the game would become less tilting.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,"It was only really useful when there were obvious hacks involved, but to be honest those should be easy to detect through normal computer algorithms. Suspicious players take so much effort to review that Overwatch really wasn't sustainable. I understand why it is gone.","Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","All of those options above are true, but mostly it is inconsistency in play. For instance, they sometimes hard clear corners when someone is camping, but then other times won't do that when no one is there.",Good luck with your thesis from a highschool student in Germany ;)
